date,distance
2026-01-02,10.09
2026-01-03,25.01
2026-01-06,10.13
2026-01-08,12.22
2026-01-10,10.10
2026-01-11,24.72
2026-01-13,11.05
2026-01-15,13.04
2026-01-17,8.69
2026-01-20,10.10
2026-01-22,10.72
2026-01-25,25.17
2026-01-28,9.35
2026-01-29,10.09
2026-01-31,7.09
2026-02-01,22.00
2026-02-03,11.00
2026-02-05,13.29
2026-02-07,8.32
2026-02-08,26.00
2026-02-10,10.08
2026-02-12,12.63
2026-02-14,8.01
2026-02-15,24.68
2026-02-19,12.92
2026-02-21,8.05
2026-02-22,25.89
2026-02-24,10.18
2026-02-26,12.64
2026-02-28,8.06
